tour_id,title,region,start_date,end_date,duration_days,min_budget_per_person,max_budget_per_person
1,Historical Samarkand Tour,Samarkand,2025-09-15,2025-09-17,3,100,150
2,Samarkand Cultural Escape,Samarkand,2025-10-01,2025-10-04,4,120,180
3,Weekend at Registon,Samarkand,2025-09-20,2025-09-22,3,90,130
4,Classic Samarkand Exploration,Samarkand,2025-11-10,2025-11-14,5,150,200
5,Silk Road Heritage Tour,Samarkand,2025-12-01,2025-12-05,5,130,190
6,Winter Charm of Samarkand,Samarkand,2025-12-20,2025-12-23,4,110,160
7,Ancient Sites Discovery,Samarkand,2026-01-10,2026-01-13,4,100,150
8,Samarkand Family Adventure,Samarkand,2026-02-05,2026-02-09,5,140,190
9,Spring Festival Tour,Samarkand,2026-03-15,2026-03-18,4,120,170
10,Architecture & History Tour,Samarkand,2026-04-01,2026-04-05,5,135,185
