attraction_id,attraction_name,attraction_type,attraction_lat,attraction_lng,attraction_open_time,attraction_close_time,attraction_entry_fee,guide_required,guide_price
1,Registon Square,Historical Monument,39.6541,66.9758,08:00,20:00,4.00,Yes,10.00
2,Shah-i-Zinda Necropolis,Mausoleum Complex,39.6670,66.9980,09:00,19:00,3.00,Yes,8.00
3,Bibi-Khanym Mosque,Historical Mosque,39.6624,66.9745,08:00,18:00,2.50,Optional,7.00
4,Gur-e-Amir Mausoleum,Mausoleum,39.6548,66.9725,08:00,20:00,3.50,Yes,9.00
5,Ulugh Beg Observatory,Scientific Site,39.6680,66.9585,09:00,17:00,2.00,Optional,6.00
6,Afrosiyob Museum,Museum,39.6822,66.9908,09:00,17:30,2.00,No,0.00
7,Khazrat-Khizr Mosque,Religious Site,39.6675,66.9882,08:00,18:00,1.50,No,0.00
8,Imam Al-Bukhari Complex,Religious Complex,39.7751,67.0642,08:00,17:00,Free,No,0.00
9,Samarkand Paper Mill (Konigil),Cultural Attraction,39.6483,67.0589,09:00,18:00,2.00,Optional,5.00
10,Siyob Bazaar,Market,39.6635,66.9753,06:00,21:00,Free,No,0.00
